SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500163,GODFREY PH  ,A ,Q,994.25,998.90,982.00,986.30,982.00,998.25,305,4639,4603153.00,
500164,GODREJ IND  ,A ,Q,598.00,603.10,586.25,589.05,589.05,597.80,742,19989,11868615.00,
500165,KANSAI NERO ,A ,Q,502.30,511.25,497.55,502.70,498.70,497.30,364,6043,3052632.00,
500166,GOODRICKE   ,X ,Q,455.00,475.00,449.45,451.70,451.70,471.00,580,36638,16764028.00,
500168,GOODYEAR (I),B ,Q,880.95,880.95,866.00,869.10,870.00,875.40,274,3831,3340316.00,
500170,GTN INDUS   ,B ,Q,17.60,17.60,17.60,17.60,17.60,17.90,1,100,1760.00,
500171,GHCL LTD    ,A ,Q,300.00,302.50,291.00,293.15,293.15,303.50,1821,145450,43248979.00,
500173,GUJ.FLOURO  ,B ,Q,892.05,895.95,872.00,880.25,880.00,895.00,210,3340,2948196.00,
500179,HCL INFOSYS ,A ,Q,49.40,49.90,48.55,48.75,48.75,49.60,1637,694296,34138620.00,
500180,HDFC BANK   ,A ,Q,1841.00,1846.00,1820.00,1824.05,1824.05,1849.80,1083,35911,65705182.00,
500182,HEROMOTOCO  ,A ,Q,3504.00,3530.50,3434.00,3444.95,3444.95,3514.55,2658,15045,52217574.00,
500183,HIMACHAL FUT,B ,Q,30.30,31.25,29.30,29.45,29.45,30.75,2577,1928472,58115602.00,
500184,HSCL        ,B ,Q,159.00,159.75,156.15,157.00,157.00,158.70,1169,172719,27243559.00,
500185,HIND.CONSTN.,A ,Q,37.35,37.35,36.40,36.50,36.50,36.75,1159,1092479,40304889.00,
500186,HIND.OIL EXP,B ,Q,128.65,138.60,128.65,137.10,137.10,127.15,6407,1021189,137849119.00,
500187,HSIL        ,B ,Q,493.95,494.95,480.00,487.80,487.80,487.50,336,7797,3823628.00,
500188,HINDUS.ZI   ,A ,Q,293.10,296.45,290.05,290.65,291.00,293.00,2081,40644,11896065.00,
500189,HINDUJA VENT,B ,Q,736.00,770.00,712.10,724.20,724.20,734.55,1779,28135,20795687.00,
500191,HMT LTD.    ,Z ,Q,38.55,39.75,38.50,39.00,39.00,39.15,31,7054,275815.00,
500192,PRAG BOSIMI ,XT,Q,4.90,5.00,4.83,5.00,5.00,5.07,10,10717,52466.00,
500193,HOTEL LEELA.,B ,Q,19.85,20.00,19.50,19.60,19.60,19.85,68,17500,345762.00,
500199,I.G.PETRO   ,B ,Q,757.50,757.50,733.25,738.55,733.25,753.75,185,2527,1878302.00,
500201,IND.GLYCOLS ,B ,Q,423.10,436.00,420.10,422.30,422.30,425.35,2028,90359,38669506.00,
500206,MARGO FIN   ,XT,Q,12.45,12.45,12.45,12.45,12.45,13.10,1,25,311.00,
500207,INDO RAMA   ,B ,Q,33.40,33.70,32.90,33.25,33.30,33.15,50,8239,273539.00,
500209,INFOSYS LTD ,A ,Q,1003.00,1014.00,1000.00,1011.10,1011.10,1003.50,3541,161161,162574616.00,
500210,INGERSOLL   ,B ,Q,765.00,771.00,755.10,762.40,756.00,764.15,147,1506,1151406.00,
500211,INSILCO LTD.,XT,Q,31.00,31.90,29.55,31.85,31.85,31.00,31,8988,275050.00,
500212,INTEG.FIN.SE,XT,Q,42.95,42.95,42.00,42.00,42.00,40.95,7,2395,100732.00,
500213,INTER.TRAVEL,X ,Q,219.95,219.95,216.55,217.10,217.00,217.50,26,1024,222458.00,
500214,ION EXCHANGE,XT,Q,482.50,485.60,482.50,485.60,485.60,462.50,169,7697,3735009.00,
500215,AGRO TECH FO,B ,Q,640.00,642.00,590.00,639.05,642.00,630.45,241,3687,2343376.00,
500219,JAIN IRRIG  ,A ,Q,116.00,120.20,113.20,114.55,114.55,116.90,3931,991801,116557464.00,
500220,JASCH INDUST,X ,Q,78.00,79.90,76.00,76.55,76.55,78.15,42,6228,478849.00,
500223,JCT LTD     ,X ,Q,3.41,3.44,3.25,3.32,3.32,3.44,290,489771,1637930.00,
500227,JINDAL POLYF,B ,Q,412.45,422.00,397.00,401.65,401.65,409.00,1083,32901,13564195.00,
500228,JSWSL       ,A ,Q,249.55,254.60,248.80,250.30,250.30,251.05,682,121099,30475431.00,
500231,UMANG DAIR  ,B ,Q,81.70,81.70,76.50,77.50,77.10,81.55,263,21689,1694132.00,
500233,KAJARIA CER.,A ,Q,707.10,712.60,698.10,699.85,700.95,702.90,498,8975,6334177.00,
500234,KAKATIYA CEM,B ,Q,387.70,400.00,383.45,387.50,387.50,390.25,1453,39973,15610308.00,
500235,KALYANI STEL,B ,Q,370.95,374.95,367.25,369.50,369.50,370.50,388,11235,4162699.00,
500238,WHIRLPOOL   ,A ,Q,1515.05,1516.00,1467.15,1476.90,1479.10,1516.35,259,1435,2141524.00,
500239,KG DENIM    ,X ,Q,63.90,63.90,61.00,61.70,61.50,63.00,54,89735,5546413.00,
500240,KINETIC ENG.,XT,Q,75.00,79.70,73.00,79.70,79.70,75.95,127,34642,2675430.00,
500241,KIRL.BROS.  ,B ,Q,274.80,283.30,269.00,280.15,279.60,277.85,659,7976,2214823.00,
500243,KIRL INDUS  ,B ,Q,1425.00,1450.00,1425.00,1450.00,1450.00,1422.70,3,40,57125.00,
500245,KIRL.FERROUS,B ,Q,106.00,106.70,99.90,100.70,100.70,106.00,3535,485662,49617247.00,
500247,KOTAK MAH.BK,A ,Q,1000.10,1006.95,998.55,1000.60,1003.90,1008.65,722,32556,32663280.00,
500249,KSB PUMPS   ,B ,Q,876.45,912.00,876.00,896.55,902.00,898.85,69,714,639407.00,
